number,description,dimensions,product_number
8225NGY-1,Chair,39.25 x 35.5 x 37H,8225NGY
8225NGY-4,Ottoman,26 x 26 x 19H,8225NGY
8226DB-AC,Armless Chair,36 x 36 x 34H,8226DB
8226DB-CR,Corner Seat,36.5 x 36.5 x 34H,8226DB
8226DB-4,Ottoman,36 x 36 x 17.75H,8226DB
8226GY-AC,Armless Chair,36 x 36 x 34H,8226GY
8226GY-CR,Corner Seat,36.5 x 36.5 x 34H,8226GY
8226GY-4,Ottoman,36 x 36 x 17.75H,8226GY
8228BU*,Sectional with Pull-out Bed  and Hidden Storage,98 x 65.5 x 32 - 39H,8228BU*
8228TP*,Sectional with Pull-out Bed and Hidden Storage,98 x 65.5 x 32 - 39H,8228TP*
8229DG-AC,Armless Chair,25.25 X 38.25 X 41H,8229DG Sectional
8229DG-ARPW,POWER Armless Reclining Chair,25.25 X 38.25 X 41H,8229DG Sectional
8229DG-CN,Console,13.5 X 38.25 X 41H,8229DG Sectional
8229DG-CR,Corner Seat,69 X 41.5 X 41H,8229DG Sectional
8229DG-LRPW,POWER Left Side Reclining Chair,34 X 38.25 X 41H,8229DG Sectional
8229DG-RRPW,POWER Right Side Reclining Chai,34 X 38.25 X 41H,8229DG Sectional
8229-AC,Armless Chair,25.25 x 38.25 x 41H,8229 Sectional
8229-ARPW,POWER Armless Reclining Chair,25.25 x 38.25 x 41H,8229 Sectional
8229-CN,Console,13.5 x 37.5 x 41H,8229 Sectional
8229-CR,Corner Seat,69 x 41.5 x 41H,8229 Sectional
8229-LRPW,POWER Left Side Reclining Chair,34 x 38.25 x 41H,8229 Sectional
8229-RRPW,POWER Right Side Reclining Chair,34 x 38.25 x 41H,8229 Sectional
8230BLK-3,Double Reclining Sofa,87.5 x 38.5 x 39.5H,8230BLK
8230BLK-2,Double Glider Reclining Love Seat with Center Console,78.5 x 38.5 x 39.5H,8230BLK
8230BLK-1,Glider Reclining Chair,42.5 x 38.5 x 39.5H,8230BLK
8230BLK-2L,Left Side Reclining Love Seat,65.5 x 38.5 x 39.5H,8230BLK Sectional
8230BLK-2RCN,Right Side Double Reclining Love Seat with Center Console,78.5 x 38.5 x 39.5H,8230BLK Sectional
8230BLK-CR,Corner Seat,65.5 x 41 x 39.5H,8230BLK Sectional
8230BRW-3,Double Reclining Sofa,87.5 x 38.5 x 39.5H,8230BRW
8230BRW-2,Double Glider Reclining Love Seat with Center Console,78.5 x 38.5 x 39.5H,8230BRW
8230BRW-1,Glider Reclining Chair,42.5 x 38.5 x 39.5H,8230BRW
8230BRW-2L,Left Side Reclining Love Seat,65.5 X 38.5 X 39.5H,8230BRW Sectional
8230BRW-2RCN,Right Side Double Reclining Love Seat with Center Console,78.5 X 38.5 X 39.5H,8230BRW Sectional
8230BRW-CR,Corner Seat,65.5 X 41 X 39.5H,8230BRW Sectional
8233FA-3,Sofa,91.75 x 35.25 x 38.5H,8233FA
8233FA-2,Love Seat,69.25 x 35.25 x 38.5H,8233FA
8233FA-5,Chaise,34.25 x 58.25 x 33.5H,8233FA
8233TT-3,Sofa,91.75 x 35.25 x 38.5H,8233TT
8233TT-2,Love Seat,69.25 x 35.25 x 38.5H,8233TT
8233TT-5,Chaise,34.25 x 58.25 x 33.5H,8233TT
8234RD-3,Sofa,83.5 x 33.75 x 38.75H,8234RD
8234RD-2,Love Seat,61.5 x 33.75 x 38.75H,8234RD
8234RD-5,Chaise,33.75 x 61.75 x 38.75H,8234RD
8234TT-3,Sofa,83.5 x 33.75 x 38.75H,8234TT
8234TT-2,Love Seat,61.5 x 33.75 x 38.75H,8234TT
8234TT-5,Chaise,33.75 x 61.75 x 38.75H,8234TT
8235GY-3,Sofa,88.25 x 34.5 x 33H,8235GY
8235GY-2,Love Seat,61.5 x 34.5 x 33H,8235GY
8235GY-1,Chair,35 x 34.5 x 33H,8235GY
8235GY-L,Left Side Chaise,31 x 58.5 x 33H,8235GY*
8235GY-R,Right Side 2-Seater,58 x 34.5 x 33H,8235GY*
8235SS-3,Sofa,88.25 x 34.5 x 33H,8235SS
8235SS-2,Love Seat,61.5 x 34.5 x 33H,8235SS
8235SS-1,Chair,35 x 34.5 x 33H,8235SS
8235SS-L,Left Side Chaise,31 x 58.5 x 33H,8235SS*
8235SS-R,Right Side 2-Seater,58 x 34.5 x 33H,8235SS*
8237PU-1PW,POWER Reclining Chair,38 x 36 x 40H,8237PU-1PW
8238-RC,"Right Side Chaise, Push Back Recliner",42 x 62.5 x 40H,8238 Sectional
8238-RR,Right Side Reclining Chair,42 x 39 x 40H,8238 Sectional
8238-AC,Armless Chair,32 x 39 x 40H,8238 Sectional
8238-AR,Armless Reclining Chair,32 x 39 x 40H,8238 Sectional
8238-CN,Console,13.5 x 38 x 40H,8238 Sectional
8238-CR,Corner Seat,68 x 41 x 40H,8238 Sectional
8238-LC,"Left Side Chaise, Push Back Recliner",42 x 62.5 x 40H,8238 Sectional
8238-LR,Left Side Reclining Chair,42 x 39 x 40H,8238 Sectional
8239-3,Sofa,85 x 36 x 39H,8239
8239-2,Love Seat,64 x 36 x 39H,8239
8239-1,Chair,44 x 36 x 39H,8239
8240-3,Double Reclining Sofa,86 x 38.75 x 40.5H,8240
8240-2,Double Reclining Love Seat,63.25 x 38.75 x 40.5H,8240
8240-1,Reclining Chair,40 x 38.75 x 40.5H,8240
8244BU-3,Sofa,81 x 39 x 39H,8244BU
8244BU-2,Love Seat,63 x 39 x 39H,8244BU
8244BU-1,Chair,41 x 39 x 39H,8244BU
8244RN-3,Sofa,81 x 39 x 39H,8244RN
8244RN-2,Love Seat,63 x 39 x 39H,8244RN
8244RN-1,Chair,41 x 39 x 39H,8244RN
8244SD-3,Sofa,81 x 39 x 39H,8244SD
8244SD-2,Love Seat,63 x 39 x 39H,8244SD
8244SD-1,Chair,41 x 39 x 39H,8244SD
8245BR-3SL,Sofa with Sleeper,Sofa: 83 x 36 x 38HSleeper Mattress: 60 x 71.75 x 4.75H,8245BR
8245BR-3,Sofa,83 x 36 x 38H,8245BR
8245BR-2,Love Seat,57 x 36 x 38H,8245BR
8245BR-1,Chair,36 x 36 x 38H,8245BR
8245GY-3SL,Sofa with Sleeper,"Sofa: 83 x 36 x 38H
Sleeper Mattress: 60 x 71.75 x 4.75H",8245GY
8245GY-3,Sofa,83 x 36 x 38H,8245GY
8245GY-2,Love Seat,57 x 36 x 38H,8245GY
8245GY-1,Chair,36 x 36 x 38H,8245GY
8246CR-3,Sofa,82.5 x 34.5 x 34.5H,8246CR
8246CR-2,Love Seat,57.5 x 34.5  x 34.5H,8246CR
8246CR-1,Chair,32 x 34.5 x 34.5H,8246CR
8246GY-3,Sofa,82.5 x 34.5 x 34.5H,8246GY
8246GY-2,Love Seat,57.5 x 34.5 x 34.5H,8246GY
8246GY-1,Chair,32 x 34.5 x 34.5H,8246GY
8248GRY-3,Sofa,72 x 32 x 35H,8248GRY
8248GRY-2,Love Seat,58 x 32 x 35H,8248GRY
8250GY-3,Sofa,79.75 x 33 x 33H,8250GY
8250GY-2,Love Seat,57 x 33 x 33H,8250GY
8250GY-1,Chair,34.25 x 33 x 33H,8250GY
8250RN-3,Sofa,79.75 x 33 x 33H,8250RN
8250RN-2,Love Seat,57 x 33 x 33H,8250RN
8250RN-1,Chair,34.25 x 33 x 33H,8250RN
8255GY-2LCNPHD,"POWER Left Side Reclining Love Seat with Center Console, Power Headrest and LED",64.5 x 39 x 40H,8255GY-PW Sectional
8255GY-2RCNPHD,"POWER Right Side Reclining Love Seat with Center Console, Power Headrest and LED",64.5 x 39 x 40H,8255GY-PW Sectional
8255GY-CR,Corner Seat,68 x 42.5 x 40H,8255GY-PW Sectional
8256GY-LPW,POWER Left Side Reclining Love Seat,71 x 41.75 x 29-36H,8256GY-PW Sectional
8256GY-R,Right Side Chaise,85 x 41.75 x 29 - 36H,8256GY-PW Sectional
8256-LPW,POWER Left Side Reclining Love Seat,71 x 41.75 x 29-36H,8256-PW Sectional
8256-R,Right Side Chaise,85 x 41.75 x 29 - 36H,8256-PW Sectional
8257BRW-3,Double Reclining Sofa,85 x 37.5 x 40H,8257BRW
8257BRW-2,Double Reclining Love Seat,62 x 37.5 x 40H,8257BRW
8257BRW-1,Reclining Chair,39 x 37.5 x 40H,8257BRW
8257GRY-3,Double Reclining Sofa,85 x 37.5 x 40H,8257GRY
8257GRY-2,Double Reclining Love Seat,62 x 37.5 x 40H,8257GRY
8257GRY-1,Reclining Chair,39 x 37.5 x 40H,8257GRY
8258-3,Double Reclining Sofa,85 x 39 x 40H,8258
8258-2,Double Reclining Love Seat,65 x 39 x 40H,8258
8258-1,Reclining Chair,40 x 39 x 40H,8258
8259-AC,Armless Chair,30 x 37 x 37 - 39.5H,8259-PW Sectional
8259-ARPW,POWER Armless Reclining Chair,30 x 37 x 37 - 39.5H,8259-PW Sectional
8259-CN,Console,13.5 x 37 x 37 - 39.5H,8259-PW Sectional
8259-CR,Corner Seat,64.5 x 40 x 37 - 39.5H,8259-PW Sectional
8259-LRPWH,POWER Left Side Reclining Chair with Power Headrest,40 x 37 x 37 - 39.5H,8259-PW Sectional
8259-RRPWH,POWER Right Side Reclining Chair with Power Headrest,40 x 37 x 37 - 39.5H,8259-PW Sectional
8260DB-AC,Armless Chair,31 x 39 x 39H,8260DB-PW Sectional
8260DB-ARPW,POWER Armless Reclining Chair,31 x 39 x 39H,8260DB-PW Sectional
8260DB-CN,Console,16 x 39 x 39H,8260DB-PW Sectional
8260DB-CR,Corner Seat,72 x 43 x 39H,8260DB-PW Sectional
8260DB-LRPW,POWER Left Side Reclining Chair,39 x 39 x 39H,8260DB-PW Sectional
8260DB-RRPW,POWER Right Side Reclining Chair,39 x 39 x 39H,8260DB-PW Sectional
8260GY-AC,Armless Chair,31 x 39 x 39H,8260GY-PW Sectional
8260GY-ARPW,POWER Armless Reclining Chair,31 x 39 x 39H,8260GY-PW Sectional
8260GY-CN,Console,16 x 39 x 39H,8260GY-PW Sectional
8260GY-CR,Corner Seat,72 x 43 x 39H,8260GY-PW Sectional
8260GY-LRPW,POWER Left Side Reclining Chair,39 x 39 x 39H,8260GY-PW Sectional
8260GY-RRPW,POWER Right Side Reclining Chair,39 x 39 x 39H,8260GY-PW Sectional
8267BE-1,"Push Back Reclining Chair, Beige",30.5 x 35.5 x 41H,8267BE-1
8267BU-1,"Push Back Reclining Chair, Blue",30.5 x 35.5 x 41H,8267BU-1
8267CH-1,"Push Back Reclining Chair, Chocolate",30.5 x 35.5 x 41H,8267CH-1
8267GY-1,"Push Back Reclining Chair, Gray",30.5 x 35.5 x 41H,8267GY-1
8267RN-1,"Push Back Reclining Chair, Orange",30.5 x 35.5 x 41H,8267RN-1
8268BR-1,Push Back Reclining Chair,27 x 35.5 x 42.5H,8268BR-1
8268GY-1,Push Back Reclining Chair,27 x 35.5 x 42.5H,8268GY-1
8268PU-1,Push Back Reclining Chair,27 x 35.5 x 42.5H,8268PU-1
8269-1,Push Back Reclining Chair,30 x 36 x 41.5H,8269-1
8270-1,Push Back Reclining Chair,32.5 x 34.5 x 38.5H,8270-1
8277CH*,Sectional with Pull-out Bed and Storage Ottoman,103.75 x 87.75 x 32 - 39H,8277CH Sectional
8289BU-3,Sofa,84 x 34 x 33.5H,8289BU
8289BU-2,Love Seat,62 x 34 x 33.5H,8289BU
8289BU-1,Chair,42 x 34 x 33.5H,8289BU
8289GY-3,Sofa,84 x 34 x 33.5H,8289GY
8289GY-2,Love Seat,62 x 34 x 33.5H,8289GY
8289GY-1,Chair,42 x 34 x 33.5H,8289GY
8300-1PW,POWER Reclining Chair,41.25 x 41 x 30 - 37.5H,8300
8300-3PW*,POWER Double Reclining Sofa,78.75 x 41 x 30 - 37.5H,8300
8300-2PW*,POWER Double Reclining Love Seat,64.5 x 41 x 30 - 37.5H,8300
8303-AC,Armless Chair,29.5 x 33 x 28.25H,8303
8303-LL,L Left Side 2-Seater/Right Side Chaise,65.75 x 33 x 28.25H,8303
8303-OT,Ottoman,57 x 31 x 18.5H,8303
8308-3PW*,POWER Double Reclining Sofa,87.75 x 36.5 x 39.5H,8308
8308-2PW*,POWER Double Reclining Love Seat,64.5 x 36.5 x 39.5H,8308
8308-1PW,POWER Reclining Chair,41.25 x 36.5 x 39.5H,8308
8308-5L,Left Side Chaise,32.25 x 62 x 39.5H,8308 Sectional
8308-5R,Right Side Chaise,32.25 x 62 x 39.5H,8308 Sectional
8308-AC,Armless Chair,23.25 x 36.5 x 39.5H,8308 Sectional
8308-ARPW,POWER Armless Reclining Chair,23.25 x 36.5 x 39.5H,8308 Sectional
8308-CN,Console,13 x 36.5 x 39.5H,8308 Sectional
8308-CR,Corner Seat,64.5 x 40 x 39.5H,8308 Sectional
8308-LCPW,POWER Left Side Reclining Chair with USB port,32.25 x 36.5 x 39.5H,8308 Sectional
8308-RCPW,POWER Right Side Reclining Chair with USB port,32.25 x 36.5 x 39.5H,8308 Sectional
8312-3,Sofa,72.75 x 33.75 x 33.75H,8312
8312-2,Love Seat,55.5 x 33.75 x 33.75H,8312
8312-1,Chair,36.75 x 33.75 x 33.75H,8312
