number,description,dimensions,product_number
2456-64WM,Dining Table,38 x 64 x 30H,2456-64WM*
2456S,Side Chair,19 x 25 x 39H,2456-64WM*
2456-13,Bench,49 x 18 x 20H,2456-64WM*
2458,5-Piece Pack Dinette Set,Table:  42 Dia x 30H Chair: 18 x 21.25 x 36H,2458
2458-36,5-Piece Pack Counter Height Set,Table:  42 Dia x 36H Chair:  18 x 20.25 x 40H,2458-36
2459,6-Piece Pack Dinette Set,Table:  35.5 x 60 x 30H (see product features for more),2459
2466-48*,Round Dining Table,48 Dia x 30H,2466-48*
2466S,Side Chair,22.25 x 22.5 x 39H,2466-48*
2469,5-Piece Pack Dinette Set,"Table: 36 x 48 x 30H
Chair: 17.5 x 21 x 38H",2469
2477-78,Dining Table,42 x 60 - 78 x 30H,2477-78
2477S,Side Chair,18.5 x 22.5 x 41H,2477-78
2477-13,48” Bench,48 x 16 x 20H,2477-78
2479-42*,Pub Height Table,42 x 42 x 42H,2479-42*
2479-29BRS,"Pub Height Chair, Brown",21.25 x 23.25 x 45H,2479-42*
2479-29CRS,"Pub Height Chair, Cream",21.25 x 23.25 x 45H,2479-42*
2479-29GRS,"Pub Height Chair, Green",21.25 x 23.25 x 45H,2479-42*
2479-29RDS,"Pub Height Chair, Red",21.25 x 23.25 x 45H,2479-42*
2479-24BRS,"Counter Height Chair, Brown",21.25 x 23.25 x 40H,2479-42*
2479-24CRS,"Counter Height Chair, Cream",21.25 x 23.25 x 40H,2479-42*
2479-24GRS,"Counter Height Chair, Green",21.25 x 23.25 x 40H,2479-42*
2479-24RDS,"Counter Height Chair, Red",21.25 x 23.25 x 40H,2479-42*
2489-36XL*,Counter Height Table with Storage Base,54 x 54 - 72 x 36H,2489-36XL*
2489-24,Counter Height Chair,21 x 24 x 42H,2489-36XL*
2489-40,Server,52 x 18 x 36H,2489-36XL*
2505BK-36,3PC PACK COUNTER HEIGHT SET,"Table: 36 X 22 - 29 - 36 X 36H, Drop Leaf: 7”, Chair: 18 X 20.5 X 40.5H",2505BK-36*
2513,6-Piece Pack Dinette Set,Table:  35.5 x 60 x 30H Chair:  18 x 21.5 x 36H Bench: 46 x 16.5 x 19H,2513
2514BK-36,5-Piece Pack Counter Height Set,Table: 39 x 39 x 36H Chair: 18 x 20.5 x 40H,2514BK-36
2515-96,Dining Table with Two End Leaves,42 x 72 - 84 - 96 x 30H,2515-96
2515S,Side Chair,18.75 x 22.5 x 40H,2515-96
2515-13,54” Bench,54 x 15 x 18H,2515-96
2515-50,Curio,52 x 20 x 52H,2515-96
2516-48*,Round Dining Table,48 Dia x 30H,2516-48*
2516A,Arm Chair,25 x 26.75 x 37H,2516-48*
2524-36*,Counter Height Table with Storage Base,54 x 42 - 54 x 36H,2524-36*
2524-24,Counter Height Chair,18 x 21 x 41H,2524-36*
2526-96*,Dining Table,42 x 78 - 96 x 30H,2526-96*
2526S,Side Chair,23 x 24 x 39.5H,2526-96*
2528-64*,"Dining Table, Crackle Glass Insert",38 x 64 x 30H,2528-64*
2528S,Side Chair,19 x 25 x 39H,2528-64*
2528-13,49'' Bench,49 x 18 x 20H,2528-64*
2544S,Side Chair,19 x 25 x 39H,2528-64*
2529S,Side Chair,19 x 25 x 39H,2528-64*
2545S,Side Chair,19 x 25 x 39H,2528-64*
2529-64,"Dining Table, Marble Top",38 x 64 x 30H,2529-64
2529S,Side Chair,19 x 25 x 39H,2529-64
2529-13,"49"" Bench",49 x 18 x 20H,2529-64
2544S,Side Chair,19 x 25 x 39H,2529-64
2528S,Side Chair,19 x 25 x 39H,2529-64
2545S,Side Chair,19 x 25 x 39H,2529-64
2538-60,Dining Table,36 x 60 x 30H,2538-60
2538S,Side Chair,17.5 x 21 x 37H,2538-60
2538-13,44” Bench,44 x 17 x 18H,2538-60
2544-64,"Dining Table, Faux Marble Top",38 x 64 x 30H,2544-64
2544S,Side Chair,19 x 25 x 39H,2544-64
2544-13,49” Bench,49 x 18 x 20H,2544-64
2529S,Side Chair,19 x 25 x 39H,2544-64
2528S,Side Chair,19 x 25 x 39H,2544-64
2545S,Side Chair,19 x 25 x 39H,2544-64
2545-68,"Dining Table, Faux Marble Top",38 x 68 x 30H,2545-68
2545S,Side Chair,19 x 25 x 39H,2545-68
2545-13,49” Bench,49 x 18 x 20H,2545-68
2544S,Side Chair,19 x 25 x 39H,2545-68
2528S,Side Chair,19 x 25 x 39H,2545-68
2529S,Side Chair,19 x 25 x 39H,2545-68
2546-96,Dining Table,42.25 x 68 - 82 - 96 x 30.5H,2546-96
2546A,Arm Chair,23.5 x 23 x 40.5H,2546-96
2546S,Side Chair,21.5 x 26 x 40.5H,2546-96
2546-50*,Buffet &amp; Hutch,57.75 x 18.25 x 82.25H,2546-96
2546-40*,Server,56.25 x 17.5 x 36H,2546-96
2546-40M,Server Top with Mirror,56.25 x 13.5 x 22.5H,2546-96
2547-72,Dining Table,38 x 54 - 72 x 30H,2547-72
2547S,Side Chair,19 x 23 x 38H,2547-72
2549-78*,Dining Table,44 x 60 - 78 x 30H,2549-78*
2549S,Side Chair,20 x 26.5 x 38.25H,2549-78*
2549-13,42” Bench,42 x 16 x 19H,2549-78*
2558,5-Piece Pack Dinette Set,Table: 35.5 x 47.25 x 30H Chair: 18 x 20.5 x 36H,2558
2568-48,Round Dining Table,48 Dia x 30H,2568-48
2568BRS,Side Chair,18 x 21 x 39H,2568-48
2588-92*,Dining Table,42 x 74 - 92 x 30H,2588-92*
2588S,Side Chair,21.75 x 22.25 x 36.5H,2588-92*
2588-40,Server,60 x 18 x 38H,2588-92*
2601-36,"Counter Height Table, Faux Marble Top",40 x 40 x 36H,2601-36
2601-24,Counter Height Chair,17.5 x 19.5 x 40.25H,2601-36
2601-48,"Dining Table, Faux Marble Top",30 x 48 x 30H,2601-48
2601S,Side Chair,17.5 x 21.5 x 36H,2601-48
2611-36*,Round Counter Height Table,60 Dia x 36H    Drop Leaf: 7”,2611-36*
2611-24,Counter Height Chair,19.5 x 21.25 x 41H,2611-36*
2615DC-36*,Counter Height Table,54 x 54 x 36H,2615DC-36*
